行业,指标键,层级,指标名称,建议权重,数据来源,评分口径,角色,历史优先级,历史频率,最早回测需要,历史状态,更新备注,数据源就绪状态,当前可用于回测
交通运输,交通运输|1-BDI指数,先行,1-BDI指数,0.1333,波罗的海交易所,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,第三方/公司数据：需授权或人工导入,否：尚未导入带生效日期的历史观测
交通运输,交通运输|2-原油运输指数(BDTI),先行,2-原油运输指数(BDTI),0.0889,波罗的海交易所,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,第三方/公司数据：需授权或人工导入,否：尚未导入带生效日期的历史观测
交通运输,交通运输|3-集装箱运价指数(CCFI),先行,3-集装箱运价指数(CCFI),0.1067,上海航运交易所,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
交通运输,交通运输|4-航空煤油价格,先行,4-航空煤油价格,0.0711,IATA,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
传媒,传媒|1-互联网广告收入增速,先行,1-互联网广告收入增速,0.1333,QuestMobile,采用季调同比+3个月环比；单月值用3个月移动均值过滤。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,第三方/公司数据：需授权或人工导入,否：尚未导入带生效日期的历史观测
传媒,传媒|2-游戏版号发放数量,先行,2-游戏版号发放数量,0.1067,国家新闻出版署,滚动3M/4Q同比；以交付、收入或现金流确认，政策/规划单项权重≤8%。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
传媒,传媒|3-短视频用户时长,先行,3-短视频用户时长,0.0889,QuestMobile,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,第三方/公司数据：需授权或人工导入,否：尚未导入带生效日期的历史观测
传媒,传媒|4-广告主预算变化,先行,4-广告主预算变化,0.0711,CTR,滚动3M/4Q同比；以交付、收入或现金流确认，政策/规划单项权重≤8%。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
公用事业,公用事业|1-动力煤价格变化,先行,1-动力煤价格变化,0.1,秦皇岛动力煤,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
公用事业,公用事业|2-天然气进口价格,先行,2-天然气进口价格,0.08,海关总署,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
公用事业,公用事业|3-来水情况(三峡出库流量),先行,3-来水情况(三峡出库流量),0.0667,长江水利委员会,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
公用事业,公用事业|4-新能源装机规划,先行,4-新能源装机规划,0.0533,国家能源局,滚动3M/4Q同比；以交付、收入或现金流确认，政策/规划单项权重≤8%。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
农林牧渔,农林牧渔|1-能繁母猪存栏量变化,先行,1-能繁母猪存栏量变化,0.125,农业农村部,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
农林牧渔,农林牧渔|2-仔猪价格变化,先行,2-仔猪价格变化,0.125,农业农村部/博亚和讯,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
农林牧渔,农林牧渔|3-饲料价格变化,先行,3-饲料价格变化,0.1,中国饲料工业协会,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
农林牧渔,农林牧渔|4-农产品进口量增速,先行,4-农产品进口量增速,0.0833,海关总署,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
农林牧渔,农林牧渔|5-种植面积变化,先行,5-种植面积变化,0.0667,国家统计局,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
医药生物,医药生物|1-创新药IND数量,先行,1-创新药IND数量,0.1667,CDE,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
医药生物,医药生物|2-医保谈判降价幅度,先行,2-医保谈判降价幅度,0.1111,国家医保局,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
医药生物,医药生物|3-原料药价格变化,先行,3-原料药价格变化,0.1111,健康网,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
医药生物,医药生物|4-全球生物医药融资额,先行,4-全球生物医药融资额,0.1111,PitchBook,滚动3M/4Q同比；以交付、收入或现金流确认，政策/规划单项权重≤8%。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
商贸零售,商贸零售|1-社会消费品零售总额增速,先行,1-社会消费品零售总额增速,0.1333,国家统计局,采用季调同比+3个月环比；单月值用3个月移动均值过滤。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
商贸零售,商贸零售|2-消费者信心指数,先行,2-消费者信心指数,0.1067,国家统计局,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
商贸零售,商贸零售|3-人均可支配收入增速,先行,3-人均可支配收入增速,0.0889,国家统计局,采用季调同比+3个月环比；单月值用3个月移动均值过滤。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
商贸零售,商贸零售|4-网购渗透率,先行,4-网购渗透率,0.0711,商务部,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
国防军工,国防军工|1-国防预算增速,先行,1-国防预算增速,0.1698,全国人大,滚动3M/4Q同比；以交付、收入或现金流确认，政策/规划单项权重≤8%。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
国防军工,国防军工|2-军工集团订单公告,先行,2-军工集团订单公告,0.1274,上市公司公告,滚动3M/4Q同比；以交付、收入或现金流确认，政策/规划单项权重≤8%。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
国防军工,国防军工|3-军品采购计划,先行,3-军品采购计划,0.0849,全军武器装备采购网,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
国防军工,国防军工|4-地缘政治风险指数,先行,4-地缘政治风险指数,0.0679,相关智库,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
基础化工,基础化工|1-原油价格变化,先行,1-原油价格变化,0.15,WTI/布伦特,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
基础化工,基础化工|2-煤化工原料煤价格,先行,2-煤化工原料煤价格,0.12,秦皇岛动力煤,改为5年滚动分位(P20/P40/P60/P80)+3个月动量；须与库存、价差或利润交叉确认。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
基础化工,基础化工|3-化工品产能利用率,先行,3-化工品产能利用率,0.13,卓创资讯,采用TTM/滚动4季同比+历史分位；剔除一次性损益，IRR按项目现金流复核。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,第三方/公司数据：需授权或人工导入,否：尚未导入带生效日期的历史观测
基础化工,基础化工|4-新增产能投放计划,先行,4-新增产能投放计划,0.1,公司公告/行业协会,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,来源待核验,否：尚未导入带生效日期的历史观测
家用电器,家用电器|1-房地产竣工面积增速,先行,1-房地产竣工面积增速,0.1277,国家统计局,采用5年滚动分位+同比/环比双阈值；数据滞后超过一个频率周期时自动降权。,核心先行,P0,月度；季频指标按实际披露日生效,2020-01-01,待采集,请按评分口径复核最新值、日期和评分。,公开官方源：待开发历史抓取与时点校验,否：尚未导入带生效日期的历史观测
